gene,total,mean,var,sd,min,max,median
CNAG_00172,9636,321.2,8530.303448275861,92.35964188040067,163,603,312.5
CNAG_00173,8086,269.53333333333336,7997.222988505747,89.42719378637433,89,484,253
CNAG_00174,12107,403.56666666666666,20355.840229885056,142.67389470356886,209,798,377
CNAG_00175,3864,128.8,2452.5793103448277,49.523522798210024,44,257,126.5
CNAG_00176,44993,1499.7666666666667,282332.0471264368,531.3492703734868,576,2649,1415
CNAG_00177,4644,154.8,10847.958620689655,104.15353388478786,38,409,115.5
CNAG_00178,30302,1010.0666666666667,319855.0988505747,565.557334715566,217,2248,882.5
CNAG_00179,2261,75.36666666666666,1046.516091954023,32.3499009574067,29,163,71.5
CNAG_00180,6829,227.63333333333333,3406.516091954023,58.36536723052484,85,367,237
CNAG_00181,8059,268.6333333333333,14458.37816091954,120.24299630714273,117,552,237.5
CNAG_00182,7926,264.2,5207.131034482759,72.16045339715347,132,408,258.5
CNAG_00183,35307,1176.9,297461.19655172416,545.40003350909706,532,2376,1138
CNAG_00184,17166,572.2,19019.2,137.9101156550889,253,853,559
CNAG_00185,15070,502.3333333333333,27314.850574712644,165.27205019213818,226,847,473.5
CNAG_00186,7362,245.4,2147.4206896551723,46.34027071193232,129,344,251.5
CNAG_00187,9042,301.4,3257.4896551724137,57.07442207479997,198,398,308
CNAG_00188,9953,331.76666666666665,4385.771264367816,66.22515582743326,172,445,343.5
CNAG_00189,3942,131.4,976.5931034482759,31.25048965133628,64,198,126.5
CNAG_00190,64196,2139.866666666667,1143898.11954023,1069.5317290946678,1072,4581,1686.5
CNAG_00191,4737,157.9,5082.506896551724,71.29170285911064,56,305,140
CNAG_00192,1777,59.233333333333334,470.1850574712644,21.68375100095148,33,113,54.5
CNAG_00193,23704,790.1333333333333,49172.18850574713,221.7480293164905,418,1176,751
CNAG_00194,47539,1584.6333333333334,150301.61954022988,387.68752822373574,805,2284,1609
CNAG_00195,7125,237.5,3853.9827586206898,62.08045391764375,106,371,243
CNAG_00229,4488,149.6,2116.6620689655174,46.007195838971946,75,280,137
CNAG_00231,1508,50.266666666666666,130.06436781609196,11.404576617134543,25,71,52.5
CNAG_00232,423662,14122.066666666668,35586545.71954023,5965.4459782601525,6314,26979,14438.5
CNAG_00233,29002,966.7333333333333,30480.271264367817,174.58599962301622,525,1202,990.5
CNAG_00234,8284,276.1333333333333,3916.0505747126435,62.57835548104986,153,380,263.5
CNAG_00235,5574,185.8,7304.027586206897,85.46360386858781,46,341,178.5
CNAG_00236,3181,106.03333333333333,1905.2057471264368,43.64866260409861,32,181,109
CNAG_00237,47367,1578.9,123728.16206896551,351.75014153368227,902,2365,1596
CNAG_00238,148123,4937.433333333333,2010057.21954023,1417.7648675080893,1933,7614,4908.5
CNAG_00239,8721,290.7,33833.32068965517,183.93836111495386,98,716,212
CNAG_00240,11931,397.7,7508.079310344828,86.64917374300131,204,637,400.5
CNAG_00241,4445,148.16666666666666,1374.3505747126437,37.072234552460465,76,223,151.5
CNAG_00242,1227,40.9,1695.6793103448276,41.17862686327493,3,131,18.5
CNAG_00243,6397,213.23333333333332,2249.3574712643676,47.42739157137326,113,308,214.5
CNAG_00246,10844,361.46666666666664,13983.705747126436,118.25271982972077,129,577,335
CNAG_00247,5157,171.9,12250.231034482758,110.68076180837733,54,447,119
CNAG_00248,4668,155.6,1961.9724137931034,44.294157783991146,91,240,147.5
CNAG_00249,11238,374.6,22053.489655172412,148.5041738644824,150,647,423
CNAG_00250,14864,495.46666666666664,32564.87816091954,180.45741370450685,242,1106,481
